Name,Fibered,Crossing Number,Braid Notation,Montesinos Notation
10_138,Y,10,{-1;2;-1;2;3;2;2;-4;3;-4},K(3/5;3/5;-1/2)
10_139,Y,10,{1;1;1;1;2;1;1;1;2;2},K(1/4;1/3;-2/3)
10_140,Y,10,{-1;-1;-1;2;1;1;1;2;3;-2;3},K(1/4;1/3;-1/3)
10_141,Y,10,{-1;-1;-1;-1;2;1;1;1;2;2},K(1/4;2/3;-1/3)
10_143,Y,10,{-1;-1;-1;-1;-2;1;1;1;-2;-2},K(3/4;1/3;-1/3)
10_145,Y,10,{-1;-1;-2;1;-2;-1;-3;-2;1;-2;-3},K(2/5;1/3;-2/3)
10_148,Y,10,{-1;-1;-1;-1;-2;1;-2;1;1;-2},Not Montesinos
10_149,Y,10,{1;1;1;1;2;-1;2;-1;2;2},Not Montesinos
10_150,Y,10,{1;1;1;-2;1;1;3;-2;-1;3;2},Not Montesinos
10_151,Y,10,{-1;-1;-1;-2;1;1;-3;2;-1;-3;2},Not Montesinos
10_152,Y,10,{1;1;1;2;2;1;1;2;2;2},Not Montesinos
10_153,Y,10,{-1;-1;-1;-2;-1;-1;3;2;2;2;3},Not Montesinos
10_154,Y,10,{1;1;2;-1;2;1;3;2;2;2;3},Not Montesinos
10_155,Y,10,{-1;-1;-1;-2;1;1;-2;1;1;-2},Not Montesinos
10_156,Y,10,{-1;-1;-1;2;1;1;-3;-2;1;-2;-3},Not Montesinos
10_157,Y,10,{-1;-1;-1;-2;-2;1;-2;1;-2;-2},Not Montesinos
10_158,Y,10,{-1;-1;-1;-2;1;1;3;2;-1;2;3},Not Montesinos
10_159,Y,10,{1;1;1;2;-1;2;-1;-1;2;2},Not Montesinos
10_160,Y,10,{1;1;1;2;1;1;-3;2;-1;2;-3},Not Montesinos
10_161,Y,10,{1;1;1;2;-1;2;1;1;2;2},Not Montesinos
10_163,Y,10,{1;1;-2;-1;-1;3;2;-1;2;2;3},Not Montesinos
